folder_name,file_count,predicted_purpose,buckets,sample_file_1,sample_file_2,sample_file_3,select
06_22_Pierre-Louis,4,unknown,other=4,GUERLENE_PIERRE-CONT_FINAL_DRAFT_CON.pdf,GUERLENE_PIERRE-FLR_FINAL_DRAFT_CON.pdf,GUERLENE_PIERRE-SUP_FINAL_DRAFT.pdf,
0721-0027WTR - 253 Ivy St,0,unknown,(empty),,,,
0721-0028MLD - 58 Vanderbilt Pkwy,0,unknown,(empty),,,,
0721-0029Asb - 106-40 79th St,0,unknown,(empty),,,,
0721-0032WTR - 51 Tokeneke Rd,0,unknown,(empty),,,,
0721-0038REB - 90 Madison Ave,0,unknown,(empty),,,,
0721-0046EFM - 9 2nd St,0,unknown,(empty),,,,
0721-0047CC - 9 2nd St,0,unknown,(empty),,,,
0721-0048REB - 9 2nd St,0,unknown,(empty),,,,
0721-0054REB - 169 Parkwood St,0,unknown,(empty),,,,
0721-0057PB - 8 Webster Ave,0,unknown,(empty),,,,
0721-0058REB - 8 Webster Ave,0,unknown,(empty),,,,
0721-0059EWM - 787 Salem Rd,0,unknown,(empty),,,,
0722-0147MLD - 1226 Brookdale Ave,0,unknown,(empty),,,,
0722-0152EWM - 36 Owens St,0,unknown,(empty),,,,
0722-0155REB - 42 Bristol Dr,0,unknown,(empty),,,,
0723-0104EWM - 629 Old Town Rd,0,unknown,(empty),,,,
0723-0107EWM - 3000 Clubhouse Rd,0,unknown,(empty),,,,
0724-0230EWM - 84 Cheltenham Rd,0,unknown,(empty),,,,
0724-0231EWM - 84 Cheltenham Rd,0,unknown,(empty),,,,
0724-0232REB - 84 Cheltenham Rd,0,unknown,(empty),,,,
0724-0233POPB - 84 Cheltenham Rd,0,unknown,(empty),,,,
0724-0234CC - 84 Cheltenham Rd,0,unknown,(empty),,,,
07_22_Mehta,10,unknown,"invoice=6, other=3, spreadsheet=1",Madison Ave Construction Invoice 103680_MAC.pdf,Madison Ave Construction Invoice 103680_ORIG.pdf,Madison Ave Construction Invoice 103686_MAC.pdf,
0821-0062REB - 481 N Wellwood Ave,0,unknown,(empty),,,,
0821-0063EWM - 8 Webster Ave,0,unknown,(empty),,,,
0821-0069CAT3 - 51 Newton Ave,0,unknown,(empty),,,,
0821-0071REB - 68 Port Ave,0,unknown,(empty),,,,
0821-0080REB - 297 Long Island Ave,0,unknown,(empty),,,,
0821-0081REB - 595 NY-25A,0,unknown,(empty),,,,
0821-0083ESD - 274 Terry Rd,0,unknown,(empty),,,,
0821-0084EWM - 18 Linden Ln,0,unknown,(empty),,,,
0821-0086MLD - 95 New York Ave,0,unknown,(empty),,,,
0822-0156REB - 27 Roosevelt Ave,0,unknown,(empty),,,,
0822-0157MLD - 3 Holdsworth Dr,0,unknown,(empty),,,,
0822-0158REB - 1973 Lincoln Ave,0,unknown,(empty),,,,
0822-0159REB - 745 Nicolls Rd,0,unknown,(empty),,,,
0822-0163REB - 3 Holdsworth Dr,0,unknown,(empty),,,,
0822-0164EWM - 14 Exeter Ave,0,unknown,(empty),,,,
0823-0116EWM - 4 Oxford Rd,0,unknown,(empty),,,,
0823-0118EWM - 3 Kenlloyd Ct,0,unknown,(empty),,,,
0823-0119EWM - 16 Laurel Ln,0,unknown,(empty),,,,
0823-0121REB - 78 Ridge Rd,0,unknown,(empty),,,,
0823-0126POPB - 2483 Leslie Ln,0,unknown,(empty),,,,
0823-0127REB - 2483 Leslie Ln,0,unknown,(empty),,,,
08_22_Pierre-Louis,0,unknown,(empty),,,,
0921-0087EWM - 4 Overlook Ct,0,unknown,(empty),,,,
0921-0088EWM - 54-10 32nd Ave,0,unknown,(empty),,,,
0921-0090REB - 159 Edgewood Ave,0,unknown,(empty),,,,
0921-0094EWM - 221 5th Ave Apt. 1B,0,unknown,(empty),,,,
0921-0095EWM - 48 Ethan Cir,0,unknown,(empty),,,,
0921-0096MLD - 13 Cider Mill Ln,0,unknown,(empty),,,,
0921-0099CAT3 - 523 Scudder Ave,0,unknown,(empty),,,,
0921-0100CAT3 - 440 E 79th St,0,unknown,(empty),,,,
0921-0101REB - 122 Jefferson Ave,0,unknown,(empty),,,,
0921-0103MLD - 27 7th Ave S,0,unknown,(empty),,,,
0921-0107EWM - 160-27 24rh Ave,0,unknown,(empty),,,,
0921-0108EPB - 1313 Mockingbird Ln,0,unknown,(empty),,,,
0921-0109EWM - 147 Mohawk Ave,0,unknown,(empty),,,,
0922-0172EWM - 428 Harbor Rd,0,unknown,(empty),,,,
0922-0173REB - 428 Harbor Rd,0,unknown,(empty),,,,
0923-0132EWM - 141 Breeley Blvd,0,unknown,(empty),,,,
0923-0139CC - 2483 Leslie Ln,0,unknown,(empty),,,,
0923-0144CON - 158 Dovecote Ln,0,unknown,(empty),,,,
0923-0145EFM - 3000 Clubhouse Rd,0,unknown,(empty),,,,
0924-0275REB - 313 W 13th St,0,unknown,(empty),,,,
0924-0280REB - 84 Cheltenham Rd,0,unknown,(empty),,,,
1 Fox Run,8,property_appraisal,"other=6, appraisal=1, invoice=1",20230112141626253.pdf,20230126111258961.pdf,20230501105356735.pdf,
1 Powell Court,21,claim_restoration,"other=12, spreadsheet=7, appraisal=1, estimate=1",20220510141333238.pdf,20220510141415643.pdf,20220510141449361.pdf,
1 robinwood mit photos,0,unknown,(empty),,,,
1-6-23 Ashe,1,property_appraisal,contract=1,Contracts.pdf,,,
1-A Gerald,7,unknown,"spreadsheet=3, other=2, permit=2",2022 FINAL Building Permit Fees-Residential  04-22_202203221547172090.pdf,2022 FINAL ELECTRICAL Fees  04-22_202204131446187654.pdf,CP-1679_ELECTRICAL PERMIT APPLICATION_4-22_fillable_202204131502224285.pdf,
1. Bathroom Remodel - Bolen,18,property_appraisal,"other=15, spreadsheet=2, contract=1",BRBARA_BOLEN-BATH-2_FINAL_DRAFT_CON.pdf,BRBARA_BOLEN-BATH-RB_FINAL_DRAFT_CON.pdf,BRBARA_BOLEN-BATH_FINAL_DRAFT_CON.pdf,
1. CLAIM CLOSED 3.3.25 - BOB SHEET,1,unknown,other=1,Corsi bob sheet.pdf,,,
1. Chase Auto Pay list,1,unknown,other=1,Chase Auto Pay List.pdf,,,
1. Claims In Progress,500+,claim_restoration,"other=379, spreadsheet=50, contract=29, invoice=22, appraisal=14, report=4, insurance=2",1. Madison COC.docx,2.12.26 claim status.pdf,BOB SHEET 2.0.pdf,
1. Documents - forms - logs,25,property_appraisal,"other=13, spreadsheet=7, invoice=3, appraisal=1, contract=1",1. Madison COC.docx,2.12.26 claim status.pdf,BOB SHEET 2.0.pdf,
1. PROJECT MASTER CHECKLIST - Unknown,0,unknown,(empty),,,,
1. PROJECT TRACKING - Unknown,4,unknown,other=4,Exported - Claim Status 04-22-2026.pdf,Exported - Claim Status 04-27-2026.pdf,Exported - Claim Status 05-01-2026.pdf,
1. Profit & Expense Tracking (P&L'S) - Unknown,0,unknown,(empty),,,,
10 Ashland,3,unknown,"spreadsheet=2, other=1",10 Ashland Disclosure.pdf,10 Ashland dos-1614-f-property-condition-disclosure-statement_01.2024.pdf,ASHLAND P&L JAN 2023-JULY 30-ALLSTATE.pdf,
10 Ashland Court,7,property_appraisal,"contract=3, spreadsheet=2, appraisal=1, other=1",10 ASHLAND LOAN PACKAGE.pdf,DEED.pdf,Flip It 16 (Ashland) - CLOSING DOCS.pdf,
10 Ashland Ct Holtsville,2,unknown,"other=1, spreadsheet=1",Billing_File_SSI-36243 (1).pdf,Policy-Policy-32675.pdf,,
1010 Jerusalem Avenue,2,unknown,other=2,20230905152523761.pdf,HPSCAN_20230621215457785_2023-06-21_215749901.pdf,,
1012790_Vivian Shamatanga - paid & closed,4,unknown,other=4,SHAMATANGA-CON_Final Draft (1).pdf,SHAMATANGA_REP_Final Draft (1).pdf,SHAMATANGA_VIVIAN_Final Draft (1).pdf,
1014351_William Morrow,4,unknown,other=4,Dwelling-Contents cleaning.pdf,Email from USAA.pdf,Encircle.pdf,
1021-0111MLD - 7 Frankel Rd,0,unknown,(empty),,,,
1021-0114EWM - 427 N Queens Ave,0,unknown,(empty),,,,
1021-0115REB - 21 Kussoth St,0,unknown,(empty),,,,
1021-0116BU - 495 Ocean Ave,0,unknown,(empty),,,,
1021-0117CC - 495 Ocean Ave,0,unknown,(empty),,,,
1021-0118BIO - 770 Grand Blvd,0,unknown,(empty),,,,
1021-0121BIO - 8 Briar Path,0,unknown,(empty),,,,
1021-0123BIO - 95 13th Ave,0,unknown,(empty),,,,
1021-0125BIO - 147 Mohawk Ave,0,unknown,(empty),,,,
1021-0127BIO - 91 Kane Pl,0,unknown,(empty),,,,
1021-0128REB - 4 Cornell Court South,0,unknown,(empty),,,,
1021-0129BIO - 44 Cedar Rd,0,unknown,(empty),,,,
1021-0133BIO - 6 Barclay St,0,unknown,(empty),,,,
1021-0134BIO - 763 Dogwood Ave,0,unknown,(empty),,,,
1021-0135BIO - 329 Broadway Greenlawn,0,unknown,(empty),,,,
1021-0137BIO - 21 Rose Ave,0,unknown,(empty),,,,
1021-0139BIO - 50 Norfolk Dr W,0,unknown,(empty),,,,
1021-0141BIO - 427 N Queens Ave,0,unknown,(empty),,,,
1021-0142BIO - 15 Lt John A Olsen Ln,0,unknown,(empty),,,,
1021-0144BIO - 244-32 136th Rd,0,unknown,(empty),,,,
1021-0148BIO - 259 Madison St,0,unknown,(empty),,,,
1021-0150MLD - 54 Schneider Ln,0,unknown,(empty),,,,
1021-0153EWM - 71 Haynes Ave,0,unknown,(empty),,,,
1021-0156EWM - 96 Elm Ave,0,unknown,(empty),,,,
1022-0175EWM - 35 Cherokee Trail,0,unknown,(empty),,,,
1022-0178REB - 35 Cherokee Trail,0,unknown,(empty),,,,
1022-0180REB - 366 Nicolls Rd,0,unknown,(empty),,,,
1022-0181EWM - 10 Forsythe Meadow Ln,0,unknown,(empty),,,,
1022-0182PO - 1973 Lincoln Ave,0,unknown,(empty),,,,
1022-0184REB - 22 Wilderness Rd,0,unknown,(empty),,,,
1022-0186SC - 34 Hilltop Ave,0,unknown,(empty),,,,
1022-0187CC - 34 Hilltop Ave,0,unknown,(empty),,,,
1022-0189PO - 34 Hilltop Ave,0,unknown,(empty),,,,
1022-0190MLD - 35 Cherokee Trail,0,unknown,(empty),,,,
1022-0191CAT3 - 1057 Bay Shore Ave,0,unknown,(empty),,,,
1022-0192ESD - 73 Ulster Ave,0,unknown,(empty),,,,
1023-0151REB - 24 Underhill Ave,0,unknown,(empty),,,,
1023-0152CC - 19 E 16th St,0,unknown,(empty),,,,
1024240_Usman Sharif,5,unknown,other=5,EMS Documents .pdf,Sharif - Rebuild Scope from Adjuster.pdf,"Sharif, Usman - MAI Estimate - EMS (1).pdf",
1026930_Matthew O’Connell - file closed,1,unknown,other=1,encircle.pdf,,,
1029578_Jeffrey Dillon,2,unknown,other=2,Encircle.pdf,Photo Doc.pdf,,
"1029741_Sharon_Thomas Daddino - File closed, no work done",1,unknown,other=1,Encircle.pdf,,,
1030396_Jose Rivera,8,unknown,other=8,Encircle.pdf,Puffback.pdf,RIVERA-JOSE-CON_Final Draft.pdf,
1031758_Darwin Reyes - claim denied and closed by company,2,unknown,"other=1, spreadsheet=1",Encircle.pdf,Policy.pdf,,
1032872_Rafael Taveres,1,unknown,other=1,Encircle.pdf,,,
1035469_Kevin Lee,11,unknown,"other=7, spreadsheet=4",Content List (Statefarm).xlsx,Damaged Inventory Items.xlsx,Encircle.pdf,
1038141_Mechell Edmonds,8,unknown,"other=4, spreadsheet=4",Damaged Inventory List.xlsx,Edmonds (Encircle Detailed).xlsx,Edmonds Authorization to Perform.pdf,
1038818_Mark Terrusa,1,unknown,other=1,Encircle.pdf,,,
1039094_Anthony Carpaneto,5,unknown,other=5,CARPANETO-CONTENTS_Final Draft.pdf,CARPANETO-REP_Final Draft.pdf,CARPANETO-STRUCTURE_Final Draft.pdf,
1043163_Helene Attias - File closed,1,unknown,other=1,Encircle.pdf,,,
1056609_Jerry Hackman,7,claim_restoration,"other=6, insurance=1",HACKMAN CONTENTS CLEANING (1).pdf,HACKMAN_JERRY-CON_Final Draft.pdf,HACKMAN_JERRY-REP_Final Draft.pdf,
106 Brefni St,2,unknown,other=2,"Jacobs - 106 Brefni St., Amityville - RB.pdf","Mattzie Jacobs - 106 Brefni St., Amityville - MIT.pdf",,
106 Iceland Drive,2,unknown,other=2,"106 Iceland Dr., Huntington Station - MIT.pdf",106_ICELAND_DRIVE_FINAL_DRAFT_CAR.pdf,,
1062657_Judith Martin,12,claim_restoration,"other=10, contract=1, insurance=1",Conditional Wavier of Lein.pdf,Copy of the check and paperwork.pdf,Judith Martin - Mortgagee check.pdf,
1063750_Nicole_Jeremy Slatky,6,unknown,"other=5, spreadsheet=1",SLATKY-NICOLE-EMS_Final Draft.pdf,SLATKY-NICOLE-PACK_Final Draft.pdf,SLATKY-NICOLE-REP_Final Draft.pdf,
1070335_Alexander Krucher,3,unknown,"other=2, spreadsheet=1",KRUCHER P&L.pdf,Kracher 3021000097.pdf,encircle.pdf,
108 Shinnecock Lane,8,unknown,"spreadsheet=5, other=3",20220818105800786.pdf,Flip It 4 LLC (Shinnecock Lane) - CLOSING STATEMENT.pdf,SHINECOCK P&L JAN-AUG 26.pdf,
1082893_Howard Greenberg,1,unknown,other=1,Eagle view .PDF,,,
1085719_Robert Deluca,5,unknown,other=5,Encircle.pdf,"ROBERT_DELUCA_EMS_Final Draft with Age, Life, and Condition.pdf","ROBERT_DELUCA_Final Draft with Age, Life, and Condition.pdf",
1085924_Jacqueline (daughter Michelle) Gilbert,4,unknown,other=4,Encircle.pdf,GILBERT_CON_Final Draft.pdf,GILBERT_REPAIR_Final Draft.pdf,
1089937_Adriana Baca,5,unknown,"other=4, spreadsheet=1",BACA-CON_Final Draft.pdf,BACA-REP_Final Draft.pdf,BACA-SRUCTURE_Final Draft.pdf,
1092025_Luis Antonio Ramos Escamilla,4,unknown,other=4,Encircle.pdf,Escamilla Mitigation.pdf,"LUIS_ANTONIO_EMS_Final Draft with Age, Life, and Condition.pdf",
1092195_Dany Romero,5,unknown,other=5,Encircle.pdf,ROMERO-DANY-CON_Final Draft.pdf,ROMERO-DANY-REP_Final Draft.pdf,
1093266_Dolores Gordon,6,unknown,other=6,Encircle.pdf,GORDEN_DOLORES-CON_Rough Draft.pdf,GORDEN_DOLORES-REP_Rough Draft.pdf,
1096341_Gloria Maresca,6,unknown,other=6,BURSZTYN_CHRIS-CON_Final Draft.pdf,BURSZTYN_CHRIS-REP_Final Draft.pdf,BURSZTYN_CHRIS-STR_Final Draft.pdf,
10_22_WALKER,8,unknown,other=8,SONYA_WALKER_FINAL_DRAFT_CON.pdf,SONYA_WALKER_PO_PB__COMPONENTS_CON.pdf,SONYA_WALKER_PO_PB_final draft.pdf,
11 Elliot Avenue,31,property_appraisal,"other=26, spreadsheet=4, appraisal=1",11 Elliot Ave. Dix Hills.pdf,20220415143048164.pdf,20220415151707135.pdf,
11 Glenridge Avenue,11,property_appraisal,"other=6, spreadsheet=4, contract=1",20220407122644392.pdf,20220610091758301.pdf,20220727130758406.pdf,
11 Harrison Avenue (Y),62,claim_restoration,"other=29, spreadsheet=27, appraisal=3, contract=1, estimate=1, invoice=1",11 HARRISON P&L JAN-MAY 27.pdf,11 HARRISON STATEMENT MAY 27.pdf,11 Harrison  COVER LETTER.pdf,
11 Justin Drive,1,unknown,other=1,20220427150251380.pdf,,,
1120270_Howard And Susan Greenberg,6,unknown,"other=5, spreadsheet=1",GREENBRG_SUSAN-REP_Final Draft.pdf,GREENBRG_SUSAN_Final Draft.pdf,GREENBRG_SUSAN_photosheet.pdf,
1121-0160REB - 71 Haynes Ave,0,unknown,(empty),,,,
1121-0164EPB - 490 Glen Cove Ave,0,unknown,(empty),,,,
1121-0165EWM - 5 Maybeck Dr,0,unknown,(empty),,,,
1121-0169REB - 22 Apple St,0,unknown,(empty),,,,
1121-0170ESD - 10 Helen Ct,0,unknown,(empty),,,,
1121-0172BIO - 39 Penney St,0,unknown,(empty),,,,
1122-0198EWM - 1 Parkwood Rd,0,unknown,(empty),,,,
1122-0199SC - 1 Parkwood Rd,0,unknown,(empty),,,,
1122-0200CC - 1 Parkwood Rd,0,unknown,(empty),,,,
1122-0201REB - 1 Parkwood Rd,0,unknown,(empty),,,,
1122-0202ESD - 1057 Bay Shr Ave,0,unknown,(empty),,,,
1122-0205Asb - 66 Harriet Rd,0,unknown,(empty),,,,
1122-0206REB - 88 Maple Ave,0,unknown,(empty),,,,
1122-0209EWM - 465 Old Farmingdale Rd,0,unknown,(empty),,,,
1122-0211REB - 1057 Bay Shore Ave,0,unknown,(empty),,,,
1122-0212EWM - 12 Pepper Cir S,0,unknown,(empty),,,,
1122-0213BIO - 66 Harriet Rd,0,unknown,(empty),,,,
1122-0215REB - 425 Clearmeadow Dr,0,unknown,(empty),,,,
1122-0216PO - 22 Wilderness Rd,0,unknown,(empty),,,,
1122-0217REB - 224 Pawnee Ave,0,unknown,(empty),,,,
1122-0218REB - 89-31 129th,0,unknown,(empty),,,,
1122-0219EWM - 24 Patton St,0,unknown,(empty),,,,
1122-0220EPB - 115 Dickerson Avenue,0,unknown,(empty),,,,
1122021_Athar Iqbal,2,unknown,"other=1, spreadsheet=1",Iqbal -- Everything in encircle.pdf,damaged Inventory.xlsx,,
1123-0162Asb - 32 Winside Ln,0,unknown,(empty),,,,
1123-0171CC - 3000 Clubhouse Rd,0,unknown,(empty),,,,
1123-0173Asb - 2751 Preston Pl,0,unknown,(empty),,,,
1123785_David Morales,1,unknown,other=1,everything in encircle - Morales.pdf,,,
1130597_Victoria silversmith,1,unknown,other=1,everything in encircle.pdf,,,
1142884_Caroline Delpiano,1,unknown,other=1,everything in Encircle.pdf,,,
121 W 21st Street,1,unknown,other=1,BOBBOMATIC LLC - NYFD11994600.pdf,,,
121 W. 21 Street,1,unknown,other=1,121_W_21_STREET_FINAL_DRAFT_CAR.pdf,,,
121 West 21st Street,50,property_appraisal,"other=24, spreadsheet=22, appraisal=2, invoice=1, report=1",121 21ST STATEMENT JUL 29.pdf,121 21ST STATEMENT JUL 29_0.pdf,121 21ST STATEMENT JUL1.pdf,
1221-0177EFM - 32 Winter Ave,0,unknown,(empty),,,,
1221-0178MLD - 13 Francis Terrace,0,unknown,(empty),,,,
1221-0179REB - 67 Smith St,0,unknown,(empty),,,,
1221-0180ESD - 57 Kinsella St,0,unknown,(empty),,,,
1221-0183EPB - 359 Parkside Ave,0,unknown,(empty),,,,
1221-0184BIO - 6 Dovecote Ln,0,unknown,(empty),,,,
1221-0188MLD - 24 Corona Rd,0,unknown,(empty),,,,
1221-0190ESD - 114 Horton St,0,unknown,(empty),,,,
1222-0222ESD - 11 Highland Down,0,unknown,(empty),,,,
1222-0223CAT3 - 71 Green Ave,0,unknown,(empty),,,,
1222-0224EWM - 115 Dickerson Avenue,0,unknown,(empty),,,,
1222-0225MLD - 115 Dickerson Avenue,0,unknown,(empty),,,,
1222-0226Asb - 115 Dickerson Avenue,0,unknown,(empty),,,,
1222-0227CC - 194 Parkside Dr,0,unknown,(empty),,,,
1222-0228REB - 194 Parkside Dr,0,unknown,(empty),,,,
1222-0229REB - 71 Green Ave,0,unknown,(empty),,,,
1222-0230EPB - 150 N 26th St,0,unknown,(empty),,,,
1222-0231CAT3 - 34 poplar ave,0,unknown,(empty),,,,
1222-0232CAT3 - 1A Gerald Ln,0,unknown,(empty),,,,
1222-0233REB - 24 Patton St,0,unknown,(empty),,,,
1222-0234Asb - 24 Patton St,0,unknown,(empty),,,,
1222-0235ESD - 125 Millet St N,0,unknown,(empty),,,,
1222-0236REB - 224-24 Fairbury Ave,0,unknown,(empty),,,,
1222-0237PO - 34 poplar ave,0,unknown,(empty),,,,
1222-0238REB - 34 poplar ave,0,unknown,(empty),,,,
1222-0239PO - 24 Patton St,0,unknown,(empty),,,,
1222-0240PO - 125 Millet St N,0,unknown,(empty),,,,
1223-0178Asb - 11-31 McBride St,0,unknown,(empty),,,,
1223-0180EWM - 3833 Brooklyn Ave,0,unknown,(empty),,,,
1223-0181REB - 5 Warrenton Ct,0,unknown,(empty),,,,
1223-0182POPB - 5 Warrenton Ct,0,unknown,(empty),,,,
1223-0183POPB - 3833 Brooklyn Ave,0,unknown,(empty),,,,
1223-0184REB - 3833 Brooklyn Ave,0,unknown,(empty),,,,
12_30_BARIN,0,unknown,(empty),,,,
